epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7125,1.06403,3.79607,1.08791,0.01154,0.44183,0.23438,0.16873,0.67526,3.5229,0.82937,0.00018456,0.00018456,0.00018456
2,18.4881,0.70821,1.72976,0.87752,0.97977,0.22126,0.56157,0.48462,0.56707,2.93555,0.82684,0.00037308,0.00037308,0.00037308
3,23.4458,0.5649,1.04217,0.84757,0.95127,0.44101,0.96156,0.86017,0.49807,1.98168,0.81769,0.000557793,0.000557793,0.000557793
4,28.7649,0.52845,0.85773,0.84239,0.96764,0.37313,0.95262,0.86805,0.46179,2.08089,0.82529,0.000738699,0.000738699,0.000738699
5,33.8815,0.48205,0.76023,0.8365,0.91099,0.98437,0.97705,0.91724,0.40423,0.74163,0.80596,0.000738548,0.000738548,0.000738548
6,38.9562,0.44373,0.71423,0.82816,0.90305,0.995,0.97801,0.92042,0.39497,0.62365,0.80485,0.000730935,0.000730935,0.000730935
7,43.9455,0.42389,0.65669,0.82118,0.92256,0.98696,0.98197,0.92904,0.36746,0.61457,0.80202,0.000723321,0.000723321,0.000723321
8,49.2305,0.41377,0.62869,0.82568,0.96511,0.97421,0.9866,0.9529,0.32411,0.47749,0.79669,0.000715708,0.000715708,0.000715708
9,55.1665,0.38323,0.62089,0.81246,0.95202,0.99311,0.98741,0.94894,0.32587,0.47118,0.79254,0.000708095,0.000708095,0.000708095
10,61.8744,0.37413,0.61308,0.8165,0.94604,0.99388,0.98716,0.94839,0.33157,0.41394,0.80071,0.000700482,0.000700482,0.000700482
11,67.4874,0.36305,0.56216,0.81671,0.96183,0.98093,0.98713,0.94757,0.3186,0.45252,0.79131,0.000692869,0.000692869,0.000692869
12,72.8442,0.3523,0.56534,0.80996,0.94431,0.98752,0.9816,0.95682,0.30278,0.46693,0.79388,0.000685256,0.000685256,0.000685256
13,78.3052,0.3402,0.54729,0.8091,0.9441,0.9711,0.97847,0.94692,0.30971,0.46646,0.79126,0.000677643,0.000677643,0.000677643
14,84.4093,0.33413,0.519,0.80877,0.96369,0.98482,0.98484,0.96005,0.3013,0.40148,0.79175,0.00067003,0.00067003,0.00067003
15,90.1828,0.32498,0.51553,0.8091,0.93362,0.98294,0.97328,0.95602,0.26937,0.40916,0.7863,0.000662417,0.000662417,0.000662417
